RelErr_X1,RelErr_X2,RelErr_X1X2,corrDiff_linear,corrDiff_squared,corrDiff_categ,CC_dispersion,ss,db,ari_trueCluster,nmi_trueCluster,ari_conf_linear,nmi_conf_linear,ari_conf_squared,nmi_conf_squared,ari_conf_categ,nmi_conf_categ,run
0.14330596,0.17325327,0.15982935,[-35.058898068417236,7.957433059096461,-727.0641923797406],0.6929161167460463,0.0799996,2.450041243021412,0.1681073548159939,0.2123960363282922,[0.003752796358088409,[0.007524249333463274,0.10665639580462585,0.17282211079402407,0.10080471434335651],0.22542320670630622],run_76159
0.14754413,0.17392159,0.16209786,[-31.758875754200798,11.172875219959579,-665.0247361690457],0.7920219701261357,0.07696793,2.375719024864547,0.2967855951116393,0.3388867789979424,[0.000704490932016104,[0.0037538350143919564,0.16301482700261827,0.21285450327731853,0.03575973942971961],0.09630500393574257],run_21381
0.1374683,0.17025913,0.15556061,[-57.46339503878296,5.3953153576956545,-861.5065858714876],0.6530369978214052,0.08235005,2.507530504696192,0.0501177397357753,0.044741916839342,[0.037913712844121414,[0.050089092005541756,0.17151416223923185,0.22481576681607593,0.15538556475117182],0.26514661324904576],run_38630
0.1416615,0.17300715,0.15895644,[-13.183136513088552,13.676197305610971,-784.1129560284925],0.732663939268798,0.088561624,2.404511840839979,0.1301127683438585,0.1470424721905796,[0.004547154633348769,[0.007502647330975551,0.16548653494135007,0.22236374896159997,0.1361588829876886],0.2545464347116242],run_84412
0.14501444,0.17306022,0.16048867,[-9.793165156544,32.19546654378111,-776.1269049067873],0.741182650844145,0.07118696,2.4694336377611577,0.188734413030329,0.2798790442609701,[0.0016757963125979833,[0.0052041361921983855,0.13041794277369978,0.18712822347082528,0.05638396635989663],0.12625804785130135],run_54716
0.14511658,0.17211987,0.16001564,[-29.330643216048852,11.592934762729524,-757.7478879855116],0.7331525241132215,0.07814546,2.5160602777984846,0.2107505091351549,0.2827590962351987,[0.0036146125819843163,[0.008310833403655538,0.15237682754749235,0.20016783055924645,0.0640802940866384],0.12763996824775878],run_43722
0.13916337,0.17041656,0.1564073,[-14.793550286996725,9.621344418539337,-736.5461352853843],0.7503861122402565,0.07731671,2.459367954449159,0.2293653112652428,0.3173024423463495,[0.005931835056681194,[0.010494379450796565,0.22672295293287778,0.2843929103544695,0.031973790289740754],0.07743788702334735],run_26376
0.15677811,0.17847651,0.16875021,[-30.5226554040524,9.141085281049044,-892.5238077011544],0.7106017742915328,0.08084056,2.39884585260148,0.0631180709179938,0.0871638615286353,[0.0037823900280978817,[0.007488573656877035,0.18076421410851312,0.22811965270631276,0.1686385781437189],0.2823174238331187],run_4723
0.14875728,0.17387255,0.16261461,[-51.40194543680666,16.73296244066715,-729.7181084989878],0.693434069412594,0.07575096,2.4535026616528484,0.1163545978900724,0.1833131360388383,[0.029187804325863827,[0.05872227258971373,0.08947821211320188,0.15946087857520086,0.07735169377535339],0.14047348983957436],run_74742
0.14447509,0.17298384,0.16020477,[-22.762037376488678,0.26639333533651216,-817.0076860520513],0.7224588721590453,0.07806668,2.4303330038004485,0.2995546934811864,0.326989436665753,[0.008890100286414116,[0.01925935728200441,0.0909295666254433,0.1514374065383401,0.05293771051733395],0.10776167578488118],run_79974
