RelErr_X1,RelErr_X2,RelErr_X1X2,deconfounding_corrcoef,CC_dispersion,ss,db,ari_trueCluster,nmi_trueCluster,ari_confoundedCluster,nmi_confoundedCluster,run
0.20130228,0.22164463,0.21360263,[-566.7073299723271],0.7577211007075609,0.08870209,2.322062695238789,0.3480372093966531,0.4857671344358081,[0.0020458038554961706],[0.0055451752809266685],run_74476
0.20329906,0.22253554,0.21493074,[-546.5536715692765],0.7491440515636228,0.06991729,2.433347166194574,0.3405310338836496,0.4748039896852514,[0.000873785917421617],[0.00407878176829204],run_20289
0.20595388,0.22311702,0.21633188,[-509.81486046345634],0.6717922012995111,0.08523982,2.4830225697020185,0.4900375891386272,0.5509692013293103,[0.06340605979927616],[0.12454011381136311],run_88367
0.20280118,0.22457331,0.21596608,[-495.6768778840392],0.7662927316816837,0.07848486,2.357485806195647,0.2077791708762519,0.3230594944235948,[0.047919611903503266],[0.10852978542066016],run_52449
0.20162539,0.22435857,0.2153714,[-587.9247576491797],0.8147658724730461,0.08345754,2.195533128949124,0.3149825286486157,0.4581222188985159,[0.002417439988631382],[0.005633238703471588],run_94172
0.21459083,0.22602502,0.22150469,[-433.42023190430876],0.7679350468283054,0.076157354,2.4550104559945733,0.3272174414521014,0.4769022186906477,[0.007921595541822883],[0.011909778891425332],run_8053
0.20428604,0.22391294,0.21615377,[-516.2941135152835],0.790628045805214,0.09202314,2.29931286026212,0.3755334066791463,0.5027877764224961,[0.0051413062177559235],[0.010127317457998686],run_63888
0.20545687,0.22527373,0.21743947,[-534.2703411172992],0.6963933189758503,0.07956765,2.4692943140492063,0.2795743335244756,0.2970595806829539,[0.10238442281019146],[0.22053682088713789],run_20221
0.20218419,0.22376333,0.21523239,[-552.7854471270932],0.8010064045724431,0.08101403,2.2377445911445712,0.2966253802166933,0.436765951255631,[0.00022055098208346243],[0.0029430774486429875],run_75788
0.19500549,0.22375259,0.21238792,[-484.8995402649945],0.7852364725724125,0.093034275,2.299303850208999,0.491770219292539,0.6105937632811009,[-5.866141606671338e-05],[0.0030083671009984575],run_88282
0.20065407,0.22267047,0.21396665,[-516.684819543953],0.733566173064564,0.072595365,2.4474211523294143,0.3861840633044019,0.4909232177004733,[0.0025927776546628414],[0.006019070409101299],run_75927
0.1997407,0.22115108,0.21268687,[-499.8103991861728],0.8001553513691332,0.08291719,2.428698695605837,0.5842144248393545,0.6779685672501993,[0.0011155950952918515],[0.0038053280858985168],run_70953
0.19724396,0.22192198,0.21216595,[-452.2131901161089],0.8020175137875162,0.069499314,2.340475529145241,0.2940317438992304,0.4221608974087503,[0.0028201569074677957],[0.006699658852457178],run_11156
0.19896914,0.22462043,0.21447964,[-548.8589385196464],0.8240048928283341,0.08765442,2.485223963538121,0.5714905806213173,0.6855544790657416,[0.0072265940260935815],[0.0107896392627186],run_27603
0.20369345,0.22396794,0.21595278,[-561.7874335416775],0.7946916933923369,0.094329804,2.278768686795951,0.4919112720202317,0.5850850633275789,[0.0009141677440559449],[0.004120367237006281],run_59575
0.20207174,0.22362639,0.21510512,[-580.8551670971533],0.7663289550868483,0.08033079,2.311188072257683,0.3903560358655145,0.5292173473482179,[0.00047142914837833993],[0.004398226254212559],run_18947
0.21178734,0.2254642,0.22005728,[-541.3882316417794],0.6735364539049082,0.10472009,2.3915698742279567,0.0037438122919536,0.0067289198228247,[0.36847113116493435],[0.596894013481273],run_51698
0.20806578,0.2228547,0.21700817,[-510.5296219444639],0.8000235241996978,0.08547289,2.3430067060436666,0.372108443094004,0.5330073265244425,[0.0017089338963790543],[0.006174682368081184],run_54655
0.20283303,0.22245046,0.21469507,[-634.3434643395674],0.7299051506433661,0.08212454,2.399757256756501,0.2682024267148722,0.3691868743222219,[0.06516070840761583],[0.12918580725992365],run_12740
0.20323639,0.2236405,0.21557407,[-539.75075705994],0.819523072433769,0.0918856,2.275787980524049,0.2878673695773075,0.3911528857169439,[0.047121853915918076],[0.11009337909016158],run_99135
0.2037467,0.22223906,0.21492842,[-456.9576742382853],0.793809917824445,0.075780064,2.3534279999341923,0.2295650840504043,0.3281750168823485,[0.037317564111705434],[0.09424681449736419],run_65435
0.2018637,0.22057506,0.21317783,[-472.93773105681333],0.7055581458220327,0.07903991,2.43119342708584,0.3472875416219075,0.4255859741057677,[0.0010102255143540771],[0.004493537166206883],run_4053
0.20602314,0.22452238,0.21720901,[-470.04577035314736],0.8087966204264415,0.07268255,2.429597815702181,0.338052522491596,0.4209675135028573,[0.0018071706140407467],[0.0056356702071357475],run_2427
